127.0.0.1 - - [19/Nov/2012:19:43:37 +0100] "HEAD /index.php HTTP/1.1" 404 320
127.0.0.1 - - [19/Nov/2012:19:43:47 +0100] "GET /index.php HTTP/1.1" 404 1688
127.0.0.1 - - [19/Nov/2012:19:43:47 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:44:59 +0100] "HEAD /index.php/blog HTTP/1.1" 200 313
127.0.0.1 - - [19/Nov/2012:19:45:09 +0100] "GET /index.php/blog HTTP/1.1" 200 380
127.0.0.1 - - [19/Nov/2012:19:45:09 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:12 +0100] "GET /index.php/blog HTTP/1.1" 200 380
127.0.0.1 - - [19/Nov/2012:19:46:13 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:18 +0100] "GET /index.php/blog/show/1 HTTP/1.1" 200 392
127.0.0.1 - - [19/Nov/2012:19:46:18 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:24 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1688
127.0.0.1 - - [19/Nov/2012:19:46:24 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:43 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1688
127.0.0.1 - - [19/Nov/2012:19:46:43 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:44 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1687
127.0.0.1 - - [19/Nov/2012:19:46:44 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:45 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1687
127.0.0.1 - - [19/Nov/2012:19:46:45 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:45 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1687
127.0.0.1 - - [19/Nov/2012:19:46:45 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:58 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1688
127.0.0.1 - - [19/Nov/2012:19:46:58 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:59 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1687
127.0.0.1 - - [19/Nov/2012:19:46:59 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:59 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1687
127.0.0.1 - - [19/Nov/2012:19:46:59 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:46:59 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 404 1687
127.0.0.1 - - [19/Nov/2012:19:46:59 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:48:00 +0100] "GET /index.php/blog/show/2 HTTP/1.1" 200 394
127.0.0.1 - - [19/Nov/2012:19:48:00 +0100] "GET /favicon.ico HTTP/1.1" 404 505
127.0.0.1 - - [19/Nov/2012:19:50:07 +0100] "GET /index.php/feedback HTTP/1.1" 405 1704
127.0.0.1 - - [19/Nov/2012:19:50:07 +0100] "GET /favicon.ico HTTP/1.1" 404 505
